Date,Cable_m,Temps_h,Status,Risk_Score,Image_ID
2026-01-03 22:39:07,450.5,6.5,NORMAL,0.0089,scan_20260103_223902_0fbf7300.jpg
2026-01-03 22:41:52,1250.5,2.5,ANOMALY,0.99,scan_20260103_224132_5fa866e4.jpg
2026-01-04 00:19:24,1250.5,2.5,ANOMALY,0.99,scan_20260104_001918_551773b6.jpg
2026-01-04 00:20:19,1250.5,2.5,ANOMALY,0.99,scan_20260104_002015_5c15fc1e.jpg
2026-01-04 00:24:33,1250.5,2.5,ANOMALY,0.99,scan_20260104_002427_172aa4be.jpg
2026-01-04 00:49:32,1250.5,2.5,ANOMALY,0.99,scan_20260104_004928_36fc5590.jpg
2026-01-04 01:23:28,1250.5,2.5,ANOMALY,0.99,scan_20260104_012322_36de539a.jpg
